label,state,lat,lon
al_birmingham,AL,33.5186,-86.8104
al_talladega_nf,AL,33.4338,-86.1058
ar_fort_smith,AR,35.3859,-94.3985
ar_monticello,AR,33.629,-91.7909
az_flagstaff,AZ,35.1983,-111.6513
az_payson,AZ,34.2309,-111.3251
az_tucson_foothills,AZ,32.3082,-110.9016
ca_redding_wui,CA,40.5865,-122.3917
ca_chico_foothills,CA,39.7285,-121.8375
ca_auburn_sierra,CA,38.8966,-121.0769
ca_santa_rosa_wui,CA,38.4405,-122.7144
ca_mariposa_sierra,CA,37.4849,-119.9663
ca_santa_barbara_mtns,CA,34.4208,-119.6982
ca_big_bear,CA,34.2439,-116.9114
ca_julian_inland,CA,33.0787,-116.6014
co_fort_collins_foothills,CO,40.5853,-105.0844
co_colorado_springs,CO,38.8339,-104.8214
co_durango,CO,37.2753,-107.8801
ct_hartford,CT,41.7658,-72.6734
de_dover,DE,39.1582,-75.5244
fl_jacksonville_west,FL,30.3322,-81.6557
fl_ocala_nf,FL,29.1872,-81.982
fl_immokalee_inland,FL,26.4187,-81.4173
ga_macon,GA,32.8407,-83.6324
ga_waycross_okefenokee,GA,31.2136,-82.354
ia_des_moines,IA,41.5868,-93.625
id_boise_foothills,ID,43.615,-116.2023
id_salmon,ID,45.1758,-113.8959
id_coeur_dalene,ID,47.6777,-116.7805
il_springfield,IL,39.7817,-89.6501
in_bloomington,IN,39.1653,-86.5264
ks_hays_grassland,KS,38.8792,-99.3268
ks_manhattan_flint_hills,KS,39.1836,-96.5717
ky_lexington,KY,38.0406,-84.5037
ky_hazard_appalachia,KY,37.249,-83.193
la_shreveport,LA,32.5252,-93.7502
la_alexandria,LA,31.3113,-92.4451
ma_worcester,MA,42.2626,-71.8023
md_frederick,MD,39.4143,-77.4105
me_augusta,ME,44.3106,-69.7795
mi_grayling,MI,44.6614,-84.7148
mi_marquette,MI,46.5436,-87.3954
mn_brainerd,MN,46.358,-94.2008
mn_rochester,MN,44.0121,-92.4802
mo_ozark_plateau,MO,37.2089,-93.2923
mo_poplar_bluff,MO,36.7569,-90.3929
ms_jackson,MS,32.2988,-90.1848
ms_hattiesburg,MS,31.3271,-89.2903
mt_missoula,MT,46.8721,-113.994
mt_helena,MT,46.5884,-112.0245
mt_billings,MT,45.7833,-108.5007
nc_asheville,NC,35.5951,-82.5515
nc_sandhills,NC,35.1743,-79.3923
nd_bismarck,ND,46.8083,-100.7837
nd_medora_badlands,ND,46.9139,-103.524
ne_omaha,NE,41.2565,-95.9345
ne_valentine_sandhills,NE,42.8728,-100.5507
nh_concord,NH,43.2081,-71.5376
nj_pinelands,NJ,39.8958,-74.24
nm_santa_fe,NM,35.687,-105.9378
nm_ruidoso,NM,33.3317,-105.673
nm_las_cruces,NM,32.3199,-106.7637
nv_reno,NV,39.5296,-119.8138
nv_elko,NV,40.8324,-115.7631
nv_ely,NV,39.2474,-114.888
ny_albany,NY,42.6526,-73.7562
oh_columbus,OH,39.9612,-82.9988
ok_oklahoma_city,OK,35.4676,-97.5164
ok_woodward,OK,36.4336,-99.3904
or_bend,OR,44.0582,-121.3153
or_medford,OR,42.3265,-122.8756
or_klamath_falls,OR,42.2249,-121.7817
or_sandy_cascades,OR,45.3973,-122.2615
pa_state_college,PA,40.7934,-77.86
ri_exeter,RI,41.58,-71.537
sc_columbia,SC,34.0007,-81.0348
sc_myrtle_beach_inland,SC,33.6891,-78.8867
sd_pierre,SD,44.3683,-100.351
sd_rapid_city,SD,44.0805,-103.231
tn_crossville_plateau,TN,35.9487,-85.0269
tn_gatlinburg,TN,35.7143,-83.5102
tx_austin_hill_country,TX,30.2672,-97.7431
tx_bastrop_pines,TX,30.1105,-97.3153
tx_amarillo_grassland,TX,35.222,-101.8313
tx_eastland_rangeland,TX,32.4015,-98.8176
ut_st_george,UT,37.0965,-113.5684
ut_logan_canyon,UT,41.7355,-111.8344
va_roanoke_blueridge,VA,37.2709,-79.9414
va_harrisonburg,VA,38.4496,-78.8689
vt_montpelier,VT,44.2601,-72.5754
wa_spokane,WA,47.6588,-117.426
wa_yakima,WA,46.6021,-120.5059
wa_wenatchee,WA,47.4235,-120.3103
wa_omak,WA,48.41,-119.527
wi_wausau,WI,44.9591,-89.6301
wi_madison,WI,43.0731,-89.4012
wv_charleston,WV,38.3498,-81.6326
wv_elkins,WV,38.9259,-79.8467
wy_cheyenne,WY,41.14,-104.8202
wy_casper,WY,42.8501,-106.3252
